User,Edited Articles,Total Edits,Total Minors
Girwidz,3,10,2
Bert2,3,10,0
Orient,3,10,3
134.96.65.123,3,10,0
Jeanfrance,3,10,4
Nils,3,10,5
Feldarbeit,3,10,3
Sportreport,3,10,5
Schmuckeremit,3,10,5
Gerold Broser,3,10,7
213.138.48.27,3,10,0
139.14.17.201,3,10,0
Aleph Kaph,3,10,7
Stammzelle,3,10,4
Driverofthebluetaxi,3,10,4
89.51.126.64,2,10,0
194.15.138.11,2,10,0
BS Thurner Hof,2,10,1
Dina L.,2,10,2
HLWG,2,10,0
Kristallschädel,2,10,0
Cvb3,2,10,3
80.171.190.107,2,10,0
Tennistz,2,10,0
217.83.74.186,2,10,0
Soizic,2,10,0
Oursana,2,10,1
Kamerad~dewiki,2,10,0
194.95.93.10,2,10,0
Bavarian Sailor,2,10,1
193.174.243.130,2,10,0
217.194.34.103,2,10,0
Firechris,2,10,0
Apnoist,2,10,0
FDP Thüringen,2,10,4
Jaleks,2,10,4
217.227.151.202,2,10,0
134.155.53.23,2,10,0
Felix von Yozgat,2,10,10
95.208.93.188,2,10,0
Moleskine,2,10,1
82.100.229.19,2,10,0
Golden State,2,10,5
Lorielle,2,10,2
Fritzen,1,10,2
84.135.222.126,1,10,0
Marco Keller,1,10,3
Chrisglub,1,10,9
Jenny Klein,1,10,6
82.82.200.86,1,10,0
217.83.90.242,1,10,0
81.173.155.49,1,10,0
77.183.196.183,1,10,0
imported>Vmrgrsergr,1,10,0
Neozoen,1,10,0
212.82.236.150,1,10,0
87.245.50.173,1,10,0
Beate neuhaus,1,10,0
ClueBot,1,10,0
217.76.166.170,1,10,0
89.48.18.23,1,10,0
81.173.145.109,1,10,0
Keichwa,1,10,3
80.136.159.93,1,10,0
Wikibär,1,10,7
Cede,1,10,3
Lg09,1,10,10
80.136.129.234,1,10,0
89.53.60.246,1,10,0
Rjwilmsi,1,10,0
89.53.46.20,1,10,0
Naagmbh,1,10,1
88.77.x.x,1,10,4
Jersey~dewiki,1,10,0
Kingdomof,1,10,0
84.60.196.156,1,10,0
Heinzi.at,1,10,2
Parizifal,1,10,0
Korfuzius,1,10,0
88.72.1.240,1,10,0
Bigb0x,1,10,0
217.227.153.70,1,10,0
83.236.15.28,1,10,0
81.173.239.145,1,10,0
Sitnesch,1,10,0
Funck77,1,10,7
Paholainen,1,10,6
HubPfalz,1,10,3
Sendker,1,10,0
Pyrdracon,1,10,5
77.8.60.234,1,10,0
213.209.140.202,1,10,0
imported>Drake2u,1,10,0
80.145.108.117,1,10,0
Frisia Orientalis,1,10,8
Minister~dewiki,1,10,2
Ferdie12,1,10,0
67.49.221.43,1,10,0
Spitzkopf,1,10,0
80.146.28.84,1,10,0
imported>Cobaltbluetony,1,10,0
62.104.220.72,1,10,0
Everyking,1,10,9
Firefox13,9,9,6
Eschenmoser,9,9,9
WOBE3333,9,9,9
217.84.78.64,9,9,9
GiftBot,9,9,7
93.208.96.187,9,9,0
Elendsredder,9,9,3
Tiem Borussia 73,9,9,0
Kaisehr74,9,9,0
Varulv,9,9,9
Georg Messner,9,9,9
GeorgHH,9,9,3
MitchOfBavaria,9,9,5
HRoestBot,9,9,9
Almabot,9,9,9
Netnet,9,9,8
Schusch,9,9,4
Heldt,8,9,8
4omni,8,9,0
Antonsusi,8,9,5
Guety,8,9,8
Snotty,8,9,9
JOE,8,9,8
Aths,8,9,9
194.95.179.132,8,9,0
Sportschauer,8,9,6
Ködermaus,8,9,0
Windharp,8,9,8
Martin H.,8,9,2
Rubinbot,8,9,9
Punktional,8,9,0
Steak,8,9,0
Revolus,8,9,9
Orwlska,8,9,6
Flo 1,8,9,9
Trickstar,8,9,4
Nimro,8,9,7
Pale Male,8,9,2
Ibn Battuta,8,9,9
WKr,8,9,5
MarcoBorn,8,9,9
HowardBeale,8,9,2
Pit,8,9,9
Blah,8,9,5
Ureinwohner,8,9,7
Senbat,8,9,1
Melancholie,8,9,9
Talaris,7,9,8
Stubenviech,7,9,9
Honsfenzl,7,9,7
Chemischer Bruder,7,9,3
Gelehrter11,7,9,9
RoswithaC,7,9,4
Fridolin freudenfett,7,9,2
Pherm,7,9,3
Poelzig,7,9,5
Laza,7,9,9
Faulenzius Seltenda,7,9,4
PenumbraLpz,7,9,6
Turingbombe,7,9,0
Qkx,7,9,0
Thogo,7,9,8
Weede,7,9,6
Anaxagoras13,7,9,7
Dojo02,7,9,6
Rosendorn,7,9,9
Ahoerstemeier,7,9,8
Gamsbart,7,9,9
Testet95,7,9,8
Bitzer,7,9,8
Gorgo,7,9,3
Fusslkopp,7,9,3
Blogotron,7,9,3
Raven,7,9,9
Deprifry,7,9,2
Christian2003,7,9,8
BlackSophie,7,9,6
Steffen M.,6,9,5
Sakra,6,9,9
Joschi71,6,9,9
Hunne,6,9,8
Busbahnhof,6,9,2
Viciarg,6,9,9
Botswana,6,9,0
Henning Ihmels,6,9,5
212.82.249.134,6,9,0
62.12.137.154,6,9,0
134.130.183.42,6,9,0
Bodhi-Baum,6,9,0
Vitus Doerfler,6,9,6
Tkkrd,6,9,9
Scribo,6,9,6
Snipsnapper,6,9,9
Vagobot,6,9,9
SchwarzerKrauser,6,9,5
KaPe,6,9,7
Römert,6,9,2
Wildtierreservat,6,9,8
84.191.196.127,6,9,0
130.60.90.183,6,9,0
MattoxLp,6,9,1
Emil Bild,6,9,5
Grand Tour,6,9,2
AlterBerg,6,9,1
Käppe,6,9,9
Sd5,6,9,5
Mbdortmund,6,9,8
A.Savin,6,9,2
PatrickBrauns,6,9,1
Section6,6,9,3
Hermann biro,6,9,0
Xario,5,9,0
KaterBegemot,5,9,5
Christophorus77,5,9,8
Unlimitedknowledge30,5,9,0
TW~dewiki,5,9,2
Hedwig Storch,5,9,2
Vincent Amadeus von Goethe,5,9,2
Randbewohner,5,9,6
217.194.34.123,5,9,0
Phil.etc2505,5,9,1
Plenz,5,9,3
MFleischhacker,5,9,0
Meister und Margarita,5,9,3
Himuralibima,5,9,7
A.fiedler,5,9,8
Golney,5,9,9
Kiker99,5,9,7
Z6ehswhha5HGRTd,5,9,5
Singsangsung,5,9,8
Catfisheye,5,9,8
Haeber,5,9,5
Cruks,5,9,1
JH Kirsch,5,9,9
Pearli,5,9,2
Krantnejie,5,9,3
83.109.163.112,5,9,0
Gaius Marius,5,9,7
Eckermann,5,9,0
74albia,5,9,4
-WolliWolli-,5,9,3
217.227.152.206,5,9,0
Dr. Otterbeck,5,9,2
Ein-Rat-7000,5,9,1
Temistokles,5,9,3
Elisabeth59,5,9,6
129.143.111.98,5,9,0
Moritzz,5,9,0
Nationaldadaistische Angestellten- und Beamtenpartei,5,9,1
87.165.151.12,5,9,0
217.83.1.231,4,9,0
Friedrich.Kromberg,4,9,7
Derteaser,4,9,2
84.163.241.140,4,9,0
134.155.99.72,4,9,0
Blur4760,4,9,5
Oldnag85,4,9,6
Izadso,4,9,1
Magicman0361,4,9,9
Mullinger,4,9,1
Pere Ubu,4,9,5
Phobetor,4,9,9
129.187.244.19,4,9,0
Offenbacherjung,4,9,7
80.64.176.29,4,9,0
MsChaos,4,9,7
PaSova,4,9,9
Flamman,4,9,2
Amilamia,4,9,5
Spisazer,4,9,9
83.161.18.11,4,9,0
ThorstenNY,4,9,6
N50%,4,9,4
Rustikus,4,9,4
Spam,4,9,2
Oalexander,4,9,1
Blaumaler,4,9,0
Widescreen,4,9,4
TB42,4,9,8
Wossen,4,9,5
Randalf,4,9,9
Ipmuz,4,9,3
MauriceKA,4,9,1
SteEis,3,9,4
84.128.129.200,3,9,0
Gelegenheitsaccount,3,9,5
OE,3,9,7
WPK~dewiki,3,9,1
Yuszuv,3,9,2
Tobe man,3,9,0
Nightfly85,3,9,1
84.153.123.165,3,9,0
Cami de Son Duc,3,9,0
195.93.60.143,3,9,0
Manorainjan,3,9,3
Treal,3,9,6
Raphael Kirchner,3,9,3
Angerdan,3,9,1
Mme Mim,3,9,8
Heinero,3,9,0
Qereretre,3,9,0
Der Fußballgott,3,9,0
Oberst~dewiki,3,9,0
Nwabueze,3,9,6
Filip nohe,3,9,9
Dottore E.,3,9,9
Wilm Wilmink,3,9,0
Uwe Martens,3,9,4
BurgerBen,3,9,9
Plk,3,9,5
217.187.104.75,3,9,0
62.156.44.22,3,9,0
Feldstadtschwerin,3,9,6
Louis63,3,9,2
84.146.251.108,2,9,0
G-C,2,9,3
GesellschaftsKritiker,2,9,1
Hvm2,2,9,8
FloCo,2,9,0
141.2.140.13,2,9,0
TheJon33,2,9,7
Freiheit der Wissenschaft,2,9,0
Amos+,2,9,0
Phr~dewiki,2,9,0
80.134.200.101,2,9,0
Setting the standards,2,9,2
Maxaccount,2,9,5
Belegfreund,2,9,3
Solaris3,2,9,0
87.165.148.65,2,9,0
84.57.254.41,2,9,0
131.130.223.12,2,9,0
Muaddin,2,9,3
Nephelin,2,9,6
Beck's,2,9,0
158.64.116.100,2,9,0
Hannes.kl,2,9,0
Aeranthropos,2,9,9
88.72.20.115,2,9,0
SmokezShining,2,9,0
Pumuckel42,2,9,0
RobertPorter,2,9,8
93.202.124.159,2,9,0
Josef Roth,2,9,3
Eandré,2,9,6
Dellica,2,9,3
195.126.85.201,2,9,0
77.58.249.16,2,9,0
Lucarelli,2,9,9
Stephan.rehfeld,2,9,2
213.183.13.20,2,9,0
Diegorudolf,2,9,1
Misia22,2,9,0
194.55.211.71,2,9,0
84.188.161.214,2,9,0
217.250.234.179,2,9,0
Fah,2,9,3
Titoxd,1,9,7
Kosmo100,1,9,0
Lu Wunsch-Rolshoven,1,9,4
84.164.114.147,1,9,0
Dcon,1,9,6
OldJo,1,9,0
88.207.143.111,1,9,0
217.84.247.102,1,9,0
146.52.167.148,1,9,0
80.141.39.254,1,9,0
Fritz3721,1,9,2
Fair Use,1,9,9
Jpgordon,1,9,0
89.204.153.120,1,9,0
Haenson,1,9,0
Laufbahn,1,9,0
80.130.95.104,1,9,0
213.6.233.244,1,9,0
78.35.157.234,1,9,0
77.20.194.121,1,9,0
Doku,1,9,9
217.231.170.215,1,9,0
217.50.38.84,1,9,0
Dopaminabscheider,1,9,0
84.58.196.132,1,9,0
79.230.229.193,1,9,0
217.83.95.232,1,9,0
Tweinbrenner,1,9,0
Cordless Larry,1,9,0
217.84.233.3,1,9,0
Davidvolksmund,1,9,0
Tools4Men,1,9,1
Hirschgruber,1,9,1
62.40.88.102,1,9,0
Krähenfüßchen,1,9,1
Moplayer,1,9,1
212.60.157.181,1,9,0
T.m.schwarz,1,9,0
Pharos,1,9,6
Euplerinae,1,9,0
82.82.155.182,1,9,0
Benste,1,9,0
And the general sat and the lines on the map moved from side to side,1,9,0
87.151.250.14,1,9,0
84.169.236.186,1,9,0
47.70.156.198,1,9,0
92.72.178.154,1,9,0
Harrygarry,1,9,0
W7huber,1,9,3
77.0.47.31,1,9,0
Beademung,1,9,3
Freedomindahouse,1,9,2
Laotse,1,9,5
Kittelträger,1,9,0
Ratio~dewiki,1,9,1
207.218.155.226,1,9,0
84.191.130.199,1,9,0
77.22.114.22,1,9,0
Joziboy,1,9,0
Thomas Strauch Dudweiler,1,9,6
Mike ÖDP Berlin,1,9,0
85.179.29.44,1,9,0
78.51.75.255,1,9,0
ThorstenKlapsing,1,9,3
CDU Rheinland-Pfalz,1,9,1
Medsailor,1,9,0
Mixia,1,9,2
83.5.202.3,1,9,0
Seal44,1,9,4
84.184.240.161,1,9,0
88.72.244.211,1,9,0
152.163.100.201,1,9,0
Robert Groenewold,1,9,0
88.217.171.150,1,9,0
195.230.189.176,1,9,0
Lagopus,1,9,3
24.176.41.53,1,9,0
Perzeptor,1,9,3
217.80.68.186,1,9,0
81.210.179.230,1,9,0
YFdyh-bot,8,8,8
JensBaitinger,8,8,7
Rezabot,8,8,8
Jeremiah21,8,8,8
08-15-Bot,8,8,8
Shoot the moon,8,8,6
Quedel,8,8,5
Anachron,8,8,5
AndreasWolf,8,8,3
Justy,8,8,5
Baumi,8,8,5
All Apatcha,8,8,5
Torsten.Zä,8,8,8
Z thomas,8,8,4
Makecat-bot,8,8,8
Azim~dewiki,8,8,7
Wasserhund,8,8,8
Juncensis,8,8,0
192.108.72.190,8,8,0
Video2005,8,8,8
Fettbemme,8,8,2
Tapetis,7,8,6
Tkarcher,7,8,4
Louperibot,7,8,8
Reiner Stoppok,7,8,1
PVB,7,8,4
Labant,7,8,4
Jwschoop,7,8,6
Etc. gamma,7,8,7
Proofreader,7,8,5
Carter666,7,8,1
217.231.253.46,7,8,0
Bembo,7,8,2
Iwoelbern,7,8,7
Mijobe,7,8,7
Hunding,7,8,6
Timmaexx,7,8,4
Thab,7,8,8
Berita,7,8,5
Felicitas W,7,8,8
Kuhlo,7,8,5
Sypholux,7,8,8
Aarp65,7,8,5
Nagy,7,8,8
Michail der Trunkene,7,8,0
SuperFLoh,7,8,5
Rohieb,7,8,7
Salomis,7,8,8
Eintrachtfan27,7,8,0
Aquilea Pumila,7,8,6
KCMO,7,8,7
62.143.83.157,7,8,0
WiesbAdler,7,8,1
SassoBot,7,8,6
Moebius0014,7,8,5
Joerg w,7,8,7
Jonaes02,7,8,6
134.109.132.160,7,8,0
Zupanto,7,8,2
Hennx,6,8,3
Guaras10,6,8,0
Mmovchin,6,8,3
Smegger,6,8,0
Ukko,6,8,6
Zombie433~dewiki,6,8,0
Querverplänkler,6,8,8
Ditschi,6,8,6
Tim.landscheidt,6,8,5
Weissbier,6,8,3
PIGSgrame,6,8,7
Hey Teacher,6,8,8
195.145.160.193,6,8,0
Henning Blatt,6,8,5
79.211.116.193,6,8,0
Sewa,6,8,6
2A02:908:F841:8C80:8CB:F828:1C8E:DBA,6,8,0
GefellSeb,6,8,0
Ilsebill,6,8,2
Michileo,6,8,3
Frochtrup,6,8,5
Edzard-Freng,6,8,0
WikiCare,6,8,1
Medienhai,6,8,3
ペーター,6,8,0
Poseidon2,6,8,3
HaukeZuehl,6,8,5
Pleonasty,6,8,4
*SGR*,6,8,3
Marlight,6,8,8
Ptolusque,6,8,6
Marlus Gancher,6,8,5
Kdwnv,6,8,8
Tuchiel,6,8,3
Herr Th.,6,8,7
Kaiser Bob,5,8,4
Plumpaquatsch,5,8,2
Bjj,5,8,8
Jeune du fevrier,5,8,4
Torex,5,8,2
Reibeisen,5,8,1
Fu-Lank,5,8,2
Teilzeittroll,5,8,1
Aidan Campbell-Balfour,5,8,3
MH~dewiki,5,8,6
83.109.147.182,5,8,0
Turan MUC,5,8,6
Dolos,5,8,7
Mettmann,5,8,6
Wolfram von Eschenbach,5,8,1
ESFP,5,8,0
Boreali,5,8,5
SeeBee,5,8,1
Actionfilmsammler,5,8,1
Hebo98,5,8,0
Wolli-j,5,8,4
Hans-Jürgen Hübner,5,8,5
LogoX,5,8,4
EvDa13,5,8,8
Promifotos.de,5,8,0
195.93.60.113,5,8,0
80.226.0.6,5,8,0
Maron W,5,8,7
Lupus in Saxonia,5,8,3
Darev,5,8,1
InesM.,5,8,1
Kontrollstellekundl,5,8,1
Schwabe,5,8,1
SibFreak,5,8,7
Mechanicus,5,8,6
JensUhlenbrock,5,8,7
Smeyen,5,8,5
FBE2005,5,8,6
Gunnar.offel,5,8,8
Trolleyfuchs,5,8,0
Abogado~dewiki,5,8,5
Lycopithecus,5,8,0
Vinom,4,8,6
Hic et nunc,4,8,7
Meskin,4,8,2
SEppl,4,8,5
Shanul,4,8,3
Sem-rub,4,8,4
Oms,4,8,7
ToHaFR,4,8,0
Mms,4,8,3
Jesper Jenkins,4,8,8
T§,4,8,6
Libelle63,4,8,5
Cbnowhere~dewiki,4,8,7
Wwikix,4,8,7
Waru x,4,8,0
193.17.243.103,4,8,0
Kommerz79,4,8,1
Devilsanddust,4,8,5
Noirceuil,4,8,4
Mocy,4,8,4
Amodorrado,4,8,3
Kulturkampfforschung,4,8,1
P3Y229,4,8,0
Alauda,4,8,4
195.212.29.163,4,8,0
Eifeljanes,4,8,4
Lexprofi,4,8,3
Luke081515,4,8,7
LangeNacht,4,8,8
Christian1985,4,8,0
Pottz,4,8,7
Giacomo1970,4,8,0
Hen- Nes- Quick red novA trod,4,8,0
ObersterGenosse,4,8,1
Rübenkopf,4,8,4
217.227.155.29,4,8,0
Charon65,4,8,5
Rmw73,4,8,5
81.223.16.242,4,8,0
Websterdotcom,4,8,7
Berci,4,8,7
Necrophorus,4,8,5
Ishbane,4,8,5
134.155.36.48,4,8,0
Orator,4,8,6
Philokomos,4,8,0
M-J,4,8,6
Junyi,4,8,8
Gurgelgonzo,4,8,2
194.95.59.130,4,8,0
Global Fish,4,8,1
Bwiesem,4,8,3
Sum~dewiki,4,8,5
134.76.6.146,3,8,0
Florian Rupp,3,8,0
141.68.110.188,3,8,0
Troubled asset,3,8,2
91.221.59.5,3,8,0
195.200.70.53,3,8,0
THWZ,3,8,8
Der Barbar,3,8,4
LagondaDK,3,8,1
141.48.56.1,3,8,0
130.149.47.15,3,8,0
Biolekk,3,8,0
Jbo166,3,8,5
Juwelental,3,8,7
Mister Winterbottom,3,8,6
Baumanns,3,8,7
ⵁ,3,8,6
217.83.3.170,3,8,0
Reisewitz,3,8,1
80.143.225.9,3,8,0
Dunkler Herr,3,8,1
Dorpater,3,8,0
195.93.65.7,3,8,0
Crisule,3,8,0
Brevity,3,8,4
Ignati,3,8,4
84.178.90.134,3,8,0
Zitronenquetscher,3,8,1
Christallkeks,3,8,1
Hauner,3,8,7
Feloscho,3,8,3
Gerd Mausbach,3,8,5
Konstanter,3,8,0
Druoff,3,8,0
DancingMephisto,3,8,0
Heliogabel,3,8,4
80.134.197.113,3,8,0
HorstTitus,3,8,0
Kasa Fue,3,8,4
Pausetaste,2,8,5
Caronna,2,8,2
165.138.113.252,2,8,0
JensVonZobel,2,8,3
Deutschenfreund,2,8,0
Axel Hindemith,2,8,2
Willibaldus,2,8,5
Schanlin,2,8,0
141.90.2.58,2,8,0
Malik17,2,8,3
Commander-pirx,2,8,3
SchlechterSoldat,2,8,0
Elop,2,8,6
Soup business,2,8,3
Paul Krummbiegel,2,8,5
Karl Mauch,2,8,8
Baba66,2,8,4
172.177.214.144,2,8,0
Jnn95,2,8,5
195.93.60.9,2,8,0
Knkrdnz,2,8,7
193.16.163.244,2,8,0
Bluemangenius,2,8,6
78.34.53.74,2,8,0
Dipok,2,8,4
Burstwings~dewiki,2,8,0
145.254.35.14,2,8,0
Theophanu,2,8,2
Gnom,2,8,6
88.72.3.140,2,8,0
Tuutor,2,8,3
Mach10~dewiki,2,8,1
Fortschritt im Rückbau,2,8,0
ManRabe,2,8,3
Samwise,2,8,4
194.95.179.178,2,8,0
Pequeñita,2,8,7
Philipp Krebs,2,8,2
Araneta,2,8,0
Spacesson,2,8,0
205.188.116.73,2,8,0
134.76.62.254,2,8,0
NACHTFALKEueberBERLIN,2,8,8
Belucha,2,8,4
Wilhelm Langnick,2,8,2
Spitzahorn,2,8,1
Saippuakauppias,2,8,2
Dr. Volkmar Weiss,2,8,3
193.27.50.86,2,8,0
Clinky,2,8,0
217.2.227.236,2,8,2
217.255.10.254,2,8,0
Sklaiber,2,8,4
84.191.249.176,2,8,0
Hubert Schilling,2,8,8
84.128.131.71,2,8,0
Tomcat0816,2,8,0
StefKa81,2,8,0
84.174.53.211,1,8,0
89.123.126.119,1,8,0
91.12.88.119,1,8,0
Ragdy,1,8,0
Domracheva,1,8,7
80.143.133.11,1,8,0
81.172.88.1,1,8,0
CauchyFolge,1,8,2
217.80.70.127,1,8,0
JenniferHailey,1,8,0
Kartoffelkopf,1,8,0
62.206.21.246,1,8,0
62.224.138.237,1,8,0
Little grape,1,8,0
84.144.185.9,1,8,0
88.73.141.63,1,8,0
Cupidon,1,8,0
84.174.201.67,1,8,0
Hannes GL,1,8,0
137.250.62.102,1,8,0
84.128.204.223,1,8,0
Rage71,1,8,2
W. A. R.,1,8,0
84.59.54.210,1,8,0
88.71.71.176,1,8,0
LiliCharlie,1,8,1
195.4.49.156,1,8,0
Tao~dewiki,1,8,0
Desputin,1,8,4
F22,1,8,2
imported>Blair76,1,8,0
89.54.116.63,1,8,0
217.226.226.186,1,8,0
78.51.121.134,1,8,0
70.89.171.97,1,8,0
217.80.72.152,1,8,0
Hhb,1,8,1
PMHannes,1,8,0
80.128.220.79,1,8,0
80.132.19.44,1,8,0
Pinkgreenpeacock,1,8,3
Cybershot800i,1,8,3
83.135.232.164,1,8,0
77.22.234.82,1,8,0
84.135.154.98,1,8,0
Andyblue68,1,8,0
M.indenhuck,1,8,4
84.137.44.223,1,8,0
Afrikaaner,1,8,0
imported>Jmanjmanjman,1,8,0
5.147.24.71,1,8,0
78.35.148.76,1,8,0
89.48.29.227,1,8,0
Nol Aders,1,8,6
Hamburg322,1,8,0
94.77.172.31,1,8,0
2.240.6.67,1,8,0
Jan Tietje,1,8,4
82.135.63.233,1,8,0
Dr. Detroit,1,8,7
imported>Zleitzen,1,8,0
85.233.17.6,1,8,0
Sonneninsel,1,8,6
Mirroende,1,8,4
FachKonto,1,8,0
Gunsen,1,8,0
217.224.214.124,1,8,0
Feetjen,1,8,5
217.227.168.97,1,8,0
78.35.16.104,1,8,0
84.176.149.121,1,8,0
205.188.117.70,1,8,0
Asphaltmann,1,8,0
84.128.129.30,1,8,0
ThuranX,1,8,0
84.115.146.119,1,8,0
Dufti123,1,8,5
Elvis214,1,8,0
84.174.232.190,1,8,0
217.228.125.28,1,8,0
2A01:598:B902:B63E:4446:840E:F2A5:8C55,1,8,0
Wolpodzilla,1,8,1
194.8.197.45,1,8,0
Poxviridae,1,8,0
84.140.220.35,1,8,0
84.140.240.149,1,8,0
"Tim""DerTimotheus""Rice",1,8,0
Dixflips,1,8,5
84.185.111.228,1,8,0
91.67.83.187,1,8,0
134.155.247.155,1,8,0
XPNV,1,8,1
Ronistrange,1,8,0
194.95.179.130,1,8,0
85.167.138.44,1,8,0
Bogenhausner,1,8,0
89.53.5.1,1,8,0
145.254.34.210,1,8,0
84.146.197.190,1,8,0
217.83.5.249,1,8,0
Photouploaded~dewiki,1,8,0
Trollschreck,1,8,3
Donlot,1,8,6
Anamcaran,1,8,0
Tell2,1,8,0
84.172.190.201,1,8,0
Matt W. Rehm,1,8,0
188.194.81.193,1,8,0
93.217.54.200,1,8,0
Kuhni74,1,8,3
Havelländer,1,8,0
Sven Westphal,1,8,0
217.224.245.184,1,8,0
84.187.151.61,1,8,0
195.240.184.142,1,8,0
84.189.59.38,1,8,0
92.226.160.189,1,8,0
80.141.41.8,1,8,0
217.230.122.130,1,8,0
Freeworld,1,8,1
StillesGrinsen,7,7,6
Npsalomon,7,7,2
PolarBot,7,7,7
Tremonist,7,7,3
Tegelsee,7,7,0
Yonidebot,7,7,7
172.180.92.214,7,7,0
K.J.Bot~dewiki,7,7,7
DSisyphBot,7,7,7
Liuthar,7,7,4
Visi-bot,7,7,7
Roland1950,7,7,4
Alexscho,7,7,0
Stargamer,7,7,4
217.231.250.45,7,7,0
Gak69,7,7,5
Daniel 1992,7,7,7
Carbenium,7,7,5
Slimcase,7,7,7
Immanuel Giel,7,7,1
Update,7,7,2
188.195.53.236,7,7,0
Planetblue,7,7,7
62.156.49.245,7,7,0
"Michael Jolk, Werl",7,7,5
Townus,7,7,7
LittleFellow,7,7,0
Olivenmus,7,7,7
Tehabe,7,7,5
62.214.91.101,7,7,0
Brackenheim,7,7,6
PyBot,7,7,7
Gilliamjf,7,7,7
.anacondabot,7,7,7
62.156.58.33,7,7,0
Oxymoron83,7,7,7
Schieber1,7,7,0
BenzolBot,7,7,7
Uhlemanns,7,7,0
Trixium,7,7,0
Ruhrpott-Prolet,7,7,0
Andre Engels,7,7,7
Fab,7,7,7
Joriki,6,7,5
Yellowcard,6,7,4
StefanAndres,6,7,4
Hoszy,6,7,2
Goldplie,6,7,3
Wusselpowa,6,7,6
Breeze,6,7,5
Bremond,6,7,6
Wikix,6,7,2
Star Flyer,6,7,5
Davud,6,7,2
Westiandi,6,7,5
Vammpi,6,7,6
Wimpernschlag,6,7,0
Kliv,6,7,2
Arved,6,7,2
European Networks,6,7,5
Balû,6,7,7
Das Robert,6,7,0
Bernd.Brincken,6,7,3
193.22.32.200,6,7,0
Guineabayer,6,7,2
Ricky59,6,7,6
Bomzibar,6,7,5
91.64.1.55,6,7,0
Victor Schmidt,6,7,7
Mal,6,7,3
Kasimirflo,6,7,5
Herzschlagstadt,6,7,1
Pkw98,6,7,6
Si! SWamP,6,7,2
Funnyeric,6,7,5
BHBIHB,6,7,0
MathePeter,6,7,4
Wuschelkopf9,6,7,3
ApolloWissen,6,7,3
Motzelot,6,7,6
Tillmannas,6,7,0
Nirakka,6,7,4
145.254.212.206,6,7,0
Btr,6,7,1
Wikiuka,6,7,0
Mlxl,6,7,0
Christoph Braun,6,7,0
O0TsRVi7,6,7,4
Pitichinaccio,6,7,3
Frumpy,6,7,4
Fullhouse,6,7,1
Jirjen,6,7,1
CennoxX,5,7,5
Tanneneichhorn,5,7,5
Abc2005,5,7,0
Webmgr,5,7,0
Cäsium137,5,7,5
Das Volk,5,7,3
Nexus111,5,7,4
Amiro92,5,7,2
Rob Irgendwer,5,7,6
Musicsciencer,5,7,2
Grani,5,7,7
Tara2,5,7,4
Sloyment,5,7,6
217.227.147.168,5,7,0
Thebigruzzi,5,7,2
LE STAR,5,7,0
Este,5,7,0
Mrs.Snipping,5,7,3
Le Corbeau,5,7,4
Der Hausgeist,5,7,5
Henning.Schröder,5,7,7
Hans Eo,5,7,1
Katimpe,5,7,6
141.58.118.102,5,7,0
Kassander der Minoer,5,7,7
FAThomssen,5,7,7
Hotcha2,5,7,7
193.174.111.250,5,7,0
141.16.65.35,5,7,0
Peisi,5,7,5
Ildottoreverde,5,7,1
Simeon Kienzle,5,7,0
JTRühling,5,7,3
Nephiliskos,5,7,3
Onkel74,5,7,1
84.128.98.89,5,7,0
Iogos82,5,7,6
Burts,5,7,2
195.14.253.154,5,7,0
Gormo,5,7,6
OTFW,5,7,0
79.238.173.186,5,7,0
Astrobeamer,5,7,1
Espoo,5,7,3
Albertus correctus magnus,5,7,2
Gratisaktie,5,7,7
Einar Moses Wohltun,5,7,5
Seth Cohen,5,7,2
Gamma,5,7,2
GelöschterBenutzer77977,5,7,5
Benny26,5,7,7
Histamut,5,7,2
Jonas Steinhöfel,5,7,2
GGraf,5,7,7
Yannick181,5,7,0
Bene66,5,7,2
Denis Apel,5,7,1
Taste1at,5,7,0
139.14.17.202,5,7,0
Jacktd,5,7,5
2A02:810D:923F:FABE:21BD:F6E2:5366:58F6,5,7,0
217.227.150.10,5,7,0
DioDoro,5,7,1
MR61169,5,7,0
Hinterwäldler18,5,7,3
Athenchen,5,7,7
Anselmikus,4,7,2
Plehn,4,7,3
62.157.202.34,4,7,0
Monow,4,7,3
141.53.194.249,4,7,0
Morgenstund,4,7,5
Cola+Orange,4,7,1
Cellerius,4,7,0
80.134.195.96,4,7,0
Sauerteig,4,7,4
T. Schmidbauer,4,7,5
Molily,4,7,7
GetulioV,4,7,6
134.130.4.46,4,7,0
Vikipedija,4,7,1
Ignazwrobel,4,7,2
Trinsath,4,7,3
Henriette Fiebig,4,7,7
Regenschirmwetter,4,7,3
Dr.Hasi,4,7,5
SuperDaryl,4,7,0
Xquenda,4,7,4
Starwash,4,7,2
Firefly333,4,7,1
ESNRZ,4,7,2
217.87.9.15,4,7,0
Wiki-observer,4,7,3
217.10.60.85,4,7,0
EliVog,4,7,4
VisualBeo,4,7,2
Grafite,4,7,1
Joyborg,4,7,4
TTaube,4,7,0
Carmol7,4,7,4
FelixGermany,4,7,0
Tony L.,4,7,5
Nepomucki,4,7,5
Julian Schnell,4,7,2
84.128.136.45,4,7,0
ADK,4,7,2
23PowerZ,4,7,5
Revilooliver,4,7,0
Zen und die Kunst,4,7,0
DestinyFound,4,7,5
